"","Respond.ID","sr","trMiddle","trlast8","trfirst8","condition","difference","disMiddle","percentage","Duration..in.seconds.","condition.1","concern","frequency","sources","list","subjective","encounter","exhaustion","s1","s2","s3","s4","s5","s6","s7","s8","s9","s10","s11","partisanship.","X.Partisanship2","age","gender","gender2","Warwick_ResponseID","tr80"
"32","R_2alPIaU51nHx39L",2.81818181818182,0.4778125,0.805,0.6175,"more fake ",0.1875,0.7578125,75,1001,"more fake ",4,2,2,"Twitter, BBC News",24,79,4,5,4,4,1,1,1,3,4,3,3,2,"Independent","",18,"Female",NA,"8be91affd403eeebce07",0.5245
"33","R_2CK51SA8hHxp9Mu",2.72727272727273,0.460228174609375,0.4125,0.51,"more fake ",-0.0975,0.828125,76.25,1006,"more fake ",2,1,1,"BBC News",30,70,3,5,5,5,1,1,1,1,3,1,4,3,"Democrat","",20,"Female",NA,"1b8687b171f8ad4c2672",0.4604325396875
"34","R_2CUN07KXdiEv8NB",3,0.580625,0.6175,0.423575949375,"all true",0.193924050625,0.65625,68.75,862,"all true",3,2,1,"google suggested articles",25,35,3,4,4,3,1,1,3,4,4,4,3,2,"Republican","",18,"Male",NA,"7f62837b03dbe6587ef2",0.5686075949375
"35","R_2CZWCCVuF2EqR8O",2.63636363636364,0.5221875,0.76,0.532142857125,"more fake ",0.227857142875,0.640625,61.25,610,"more fake ",3,2,2,"BBC news app, social media",50,61,5,1,1,4,1,1,2,3,4,4,4,4,"Democrat","",19,"Female",NA,"a029a5d10e6573aa476a",0.5469642857125
"36","R_2qygGXC5wccy8j3",3,0.35816455696875,0.48,0.48,"all true",0,0.609375,66.25,391,"all true",4,3,0,",",78,80,5,2,5,3,3,1,4,4,3,3,3,2,"Other","",18,"Female",NA,"0d2255b60d0df3503d83",0.382531645575
"37","R_2SoYpzMEQuZkHH8",3,0.5175,0.6025,0.4777531645,"all true",0.1247468355,0.75,71.25,928,"all true",2,2,3,"""BBC News"", ""ITV News"", ""Mirror""",40,30,4,4,4,4,1,1,1,3,4,4,3,4,"Democrat","",21,"Female",NA,"7dacf9045e948ed7f350",0.52202531645
"38","R_2tu6iJA6ZHO9UuS",2.90909090909091,0.590625,0.56,0.4975,"more fake ",0.0624999999999999,0.234375,32.5,1110,"more fake ",3,2,1,"Google News",0,17,4,4,4,4,2,3,2,2,3,3,2,3,"Independent","",18,"Female",NA,"d9a48ae7c55d1e4c1e78",0.57825
"39","R_2uPuxIQkPYMb0IU",2.45454545454545,0.5790625,0.5925,0.545,"all true",0.0475,0.734375,73.75,1054,"all true",3,3,3,"BBC news app, Guardian social media, other news social media sites such as SYSCA",50,40,4,2,2,4,1,1,2,2,2,3,4,4,"Other","",18,"Female",NA,"ff030600d503f187daba",0.577
"40","R_2WvB3RNLPpncQ3u",2.54545454545455,0.331875,0.525,0.4675,"more fake ",0.0575,0.6953125,65.625,1091,"more fake ",3,2,3,"BBC News, Sky News, Al Jazeera",40,95,5,4,2,5,1,1,1,1,4,2,3,4,"Democrat","",19,"Female",NA,"c9a5c0a2b449f059ed69",0.36475
"41","R_2ZX13lVSnBy6M9s",3.36363636363636,0.4809375,0.77,0.7375,"more fake ",0.0325,0.6015625,62.5,726,"more fake ",3,2,1,"sky news ",20,61,3,4,4,5,2,3,2,5,3,3,3,3,"Democrat","",19,"Female",NA,"4770ca17e379b9f05628",0.5355
"42","R_3dDP1IfvkkyyhPh",1.90909090909091,0.4371875,0.4175,0.335,"all true",0.0825,0.53125,53.75,1102,"all true",2,1,1,"daily mail",60,30,4,1,3,2,2,1,1,3,2,1,4,1,"Democrat","",18,"Female",NA,"9c0cc9a9d674feab6f90",0.425
"43","R_3DtpeuCSVxakAXw",2.72727272727273,0.5696875,0.47,0.5375,"all true",-0.0674999999999999,0.6875,71.25,1505,"all true",3,4,3,"BBC, Bloomberg, South China Morning Post",40,31,4,2,4,4,1,3,2,3,4,3,2,2,"Democrat","",18,"Female",NA,"4060ce367e20ccad5017",0.5565
