Duration (in seconds),Response ID,condition,concern,frequency,sources,list,subjective ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,encounter,exhaustion ,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,"partisanship
","
Partisanship2",age,gender,gender2,Warwick_ResponseID,,true50-1.1 - Display Order,fake100-1.2 - Display Order,true50-1.3 - Display Order,true100-2 - Display Order,true16-3.1 - Display Order,fake100-3.2 - Display Order,true68-3.3 - Display Order,true16-3.4 - Display Order
3752,R_R2H3XxMPRUcBDuV,All True,3,2,2,"News, Social Media",25,70,60,80,65,20,80,60,30,10,60,60,70,75,70,10,60,40,60,60,40,60,70,60,40,40,30,60,70,40,10,60,90,70,60,30,30,60,60,20,30,60,60,20,60,80,80,40,75,10,60,30,65,10,10,70,10,90,65,30,70,70,60,10,80,40,75,40,30,70,30,70,30,80,30,70,85,40,90,70,40,40,3,4,1,4,1,1,1,1,4,2,2,2,Independent,,18,Female,,9bd1de09c255b869be36,,,,,Q412|Q349|Q350|Q359|Q353|Q397|Q383|Q373|Q388|Q385|Q413|Q351|Q386|Q357|Q405|Q344|Q380|Q403|Q387|Q339|Q337|Q348|Q400|Q407|Q394|Q326|Q375|Q364|Q409|Q358|Q362|Q314|Q396|Q395|Q384|Q333|Q411|Q354|Q371|Q345|Q328|Q392|Q324|Q368|Q330|Q355|Q402|Q381|Q352|Q366|Q347|Q393|Q408|Q377|Q361|Q321|Q376|Q319|Q398|Q356|Q338|Q323|Q320|Q404|Q372|Q331|Q374|Q346|Q391|Q389|Q317|Q315|Q370|Q369|Q410|Q340|Q390|Q342|Q322|Q334,,,,
723,R_3EGpuGxa2LCPRId,More Fake,2,1,1,BBC News,30,61,37,63,85,29,30,40,72,36,26,81,30,26,7,21,99,29,77,70,28,5,59,76,69,60,79,65,11,100,0,27,38,75,84,88,32,6,14,11,68,6,26,0,8,68,7,34,23,41,29,40,10,2,70,4,19,59,62,62,17,56,0,25,33,93,33,88,75,62,51,68,22,78,13,29,68,65,80,29,94,67,2,5,5,5,1,2,3,3,4,4,3,4,Other,,19,Female,,44770d1d1cb57402e059,,Q44|Q53|Q42|Q31|Q18|Q62|Q21|Q29,Q188|Q169|Q181|Q170|Q185|Q143|Q148|Q136|Q191|Q187|Q152|Q127|Q212|Q201|Q168|Q196|Q163|Q203|Q210|Q180|Q120|Q172|Q205|Q194|Q202|Q153|Q114|Q204|Q171|Q140|Q116|Q145|Q166|Q130|Q125|Q178|Q195|Q137|Q123|Q135|Q164|Q174|Q131|Q118|Q119|Q213|Q211|Q179|Q146|Q209|Q117|Q167|Q184|Q161|Q198|Q155|Q150|Q129|Q165|Q115|Q157|Q197|Q141|Q192,Q303|Q285|Q289|Q297|Q270|Q268|Q291|Q274,,,,,
1602,R_1NlbC8e6ldoPZEn,More Fake,2,2,1,BBC,9,100,86,100,11,56,100,99,71,0,17,2,14,0,50,2,0,34,18,45,0,26,14,70,74,58,45,28,47,28,55,11,0,25,43,0,8,10,61,0,44,53,54,0,41,14,43,31,11,13,3,35,7,45,22,45,31,11,4,11,22,11,35,19,60,30,6,0,16,14,28,0,41,73,45,38,57,55,61,95,35,81,4,2,4,4,1,1,2,4,4,2,2,5,Democrat,,19,Female,,8edaa74fea8d9617f895,,Q37|Q45|Q15|Q49|Q47|Q56|Q54|Q59,Q150|Q125|Q136|Q186|Q201|Q116|Q178|Q166|Q137|Q158|Q177|Q189|Q208|Q212|Q157|Q188|Q134|Q155|Q163|Q117|Q204|Q185|Q141|Q115|Q151|Q129|Q169|Q161|Q144|Q160|Q170|Q149|Q182|Q138|Q174|Q128|Q139|Q190|Q175|Q172|Q122|Q191|Q209|Q179|Q183|Q213|Q195|Q153|Q119|Q181|Q142|Q200|Q133|Q126|Q206|Q173|Q123|Q199|Q162|Q180|Q131|Q114|Q184|Q159,Q294|Q304|Q267|Q283|Q281|Q286|Q306|Q285,,,,,
2671,R_3EGeEUyQyEBRll4,All True,3,2,1,bbc news,,68,65,36,61,66,72,70,66,50,73,30,61,35,50,37,61,70,55,50,70,68,50,29,40,40,42,50,61,27,12,29,38,68,71,60,31,35,60,50,29,61,50,32,21,41,31,65,36,39,61,50,30,15,70,14,50,50,9,50,65,10,60,50,30,66,50,50,61,50,50,40,50,50,71,21,60,50,48,48,48,45,5,3,4,4,2,1,3,4,5,2,2,4,Other,,18,Female,,f8db00285145ba02aea8,,,,,Q411|Q357|Q361|Q378|Q402|Q332|Q326|Q341|Q329|Q380|Q362|Q400|Q359|Q351|Q409|Q367|Q345|Q369|Q364|Q405|Q394|Q356|Q319|Q371|Q366|Q343|Q321|Q316|Q404|Q360|Q330|Q412|Q387|Q406|Q391|Q352|Q392|Q395|Q365|Q337|Q386|Q335|Q315|Q379|Q348|Q350|Q410|Q408|Q322|Q403|Q382|Q372|Q384|Q407|Q336|Q325|Q363|Q396|Q358|Q328|Q317|Q331|Q334|Q347|Q374|Q355|Q399|Q385|Q390|Q398|Q318|Q375|Q342|Q324|Q388|Q320|Q333|Q376|Q314|Q327,,,,
1620,R_25T9xSHMXVTueBv,All True,2,2,3,"BBC news, sky news, itv news",40,31,28,22,63,21,20,31,31,69,13,69,25,32,71,33,29,70,29,30,66,68,23,21,30,29,80,70,71,66,64,32,71,28,70,33,70,13,20,33,24,77,66,90,31,9,23,71,21,70,69,30,20,75,0,12,71,65,64,33,72,20,93,71,72,26,37,20,68,70,40,66,72,22,71,89,32,64,47,47,47,63,3,4,2,4,1,1,2,3,2,2,3,2,Democrat,,19,Female,,1724ebf8ed8391a03f32,,,,,Q384|Q338|Q412|Q353|Q382|Q352|Q320|Q360|Q350|Q354|Q333|Q369|Q322|Q316|Q364|Q406|Q371|Q345|Q395|Q380|Q362|Q413|Q390|Q329|Q328|Q399|Q349|Q374|Q319|Q356|Q393|Q370|Q318|Q365|Q368|Q324|Q315|Q378|Q405|Q408|Q337|Q332|Q376|Q386|Q388|Q398|Q383|Q400|Q323|Q381|Q401|Q314|Q403|Q389|Q325|Q394|Q343|Q361|Q355|Q321|Q330|Q327|Q367|Q391|Q340|Q357|Q397|Q358|Q351|Q379|Q411|Q409|Q359|Q375|Q336|Q396|Q377|Q347|Q366|Q387,,,,
610,R_2CZWCCVuF2EqR8O,More Fake,3,2,2,"BBC news app, social media",50,84,19,15,61,73,71,19,9,69,74,6,81,61,81,31,71,33,21,10,67,38,39,11,27,57,16,1,10,0,19,71,70,30,0,69,3,5,29,73,34,71,65,46,72,37,12,33,16,45,74,29,28,65,22,27,35,17,74,66,20,62,38,40,33,67,38,35,10,39,66,75,71,43,63,58,38,34,58,39,42,61,5,1,1,4,1,1,2,3,4,4,4,4,Democrat,,19,Female,,a029a5d10e6573aa476a,,Q58|Q21|Q35|Q46|Q37|Q60|Q62|Q51,Q132|Q151|Q121|Q143|Q191|Q150|Q165|Q134|Q114|Q164|Q149|Q142|Q186|Q209|Q180|Q122|Q153|Q201|Q127|Q148|Q159|Q184|Q157|Q195|Q189|Q202|Q178|Q193|Q181|Q115|Q194|Q187|Q119|Q197|Q196|Q204|Q208|Q154|Q182|Q138|Q137|Q131|Q128|Q167|Q169|Q213|Q206|Q130|Q188|Q205|Q172|Q136|Q212|Q126|Q171|Q185|Q211|Q203|Q177|Q156|Q207|Q144|Q161|Q168,Q264|Q277|Q310|Q282|Q275|Q287|Q273|Q311,,,,,
726,R_2ZX13lVSnBy6M9s,More Fake,3,2,1,sky news ,20,50,71,26,41,50,60,71,70,9,53,81,34,1,50,72,12,74,81,100,15,48,60,25,28,24,79,78,43,75,0,59,89,74,61,0,0,0,1,0,0,0,0,50,9,34,16,74,6,5,50,50,50,15,5,66,57,9,1,50,13,50,50,6,73,50,50,13,50,89,12,50,50,77,50,50,63,80,60,62,50,61,3,4,4,5,2,3,2,5,3,3,3,3,Democrat,,19,Female,,4770ca17e379b9f05628,,Q30|Q21|Q61|Q49|Q32|Q47|Q33|Q41,Q137|Q114|Q174|Q186|Q126|Q177|Q119|Q189|Q194|Q202|Q173|Q165|Q146|Q156|Q117|Q190|Q136|Q127|Q154|Q185|Q118|Q145|Q198|Q195|Q141|Q122|Q129|Q213|Q205|Q175|Q159|Q164|Q170|Q197|Q147|Q188|Q142|Q140|Q166|Q206|Q163|Q178|Q123|Q143|Q180|Q212|Q203|Q168|Q115|Q200|Q183|Q157|Q149|Q144|Q155|Q184|Q167|Q151|Q161|Q176|Q201|Q191|Q187|Q199,Q289|Q287|Q310|Q272|Q279|Q295|Q276|Q285,,,,,
391,R_2qygGXC5wccy8j3,All True,4,3,0,",",78,83,83,27,82,85,77,70,18,75,79,86,73,25,14,12,15,94,26,75,100,1,74,24,78,88,75,97,23,21,89,7,6,92,85,67,100,62,85,81,78,36,79,7,91,13,66,20,81,72,99,27,0,79,80,25,71,67,60,6,73,100,85,77,58,87,25,80,27,79,19,87,99,72,34,84,20,82,69,23,59,80,5,2,5,3,3,1,4,4,3,3,3,2,Other,,18,Female,,0d2255b60d0df3503d83,,,,,Q358|Q315|Q363|Q385|Q380|Q400|Q328|Q365|Q408|Q348|Q366|Q350|Q343|Q376|Q391|Q377|Q319|Q356|Q346|Q361|Q323|Q317|Q411|Q374|Q393|Q379|Q399|Q344|Q341|Q382|Q387|Q352|Q333|Q381|Q413|Q345|Q338|Q324|Q386|Q336|Q330|Q394|Q398|Q405|Q359|Q396|Q351|Q364|Q395|Q347|Q349|Q389|Q370|Q320|Q373|Q322|Q357|Q354|Q339|Q329|Q369|Q406|Q378|Q332|Q353|Q326|Q360|Q368|Q331|Q335|Q316|Q410|Q321|Q384|Q314|Q392|Q412|Q388|Q390|Q403,,,,
2886,R_1OVprSWLFNwUr9k,All True,5,2,2,"bbc news - usually online, news that comes up on social media (not very reliable though)",31,100,89,71,66,64,61,67,60,43,59,66,65,58,63,64,61,66,58,57,71,67,56,58,50,50,64,58,70,43,50,50,66,65,63,66,64,61,63,40,31,67,42,65,41,40,82,50,50,61,50,50,50,63,50,19,19,50,66,59,57,56,61,54,73,63,50,40,63,63,69,62,50,38,62,61,68,69,90,50,64,50,2,3,3,4,3,2,2,3,4,3,3,3,Democrat,,18,Female,,f2f476c9a77ddabcae93,,,,,Q351|Q403|Q386|Q389|Q372|Q412|Q407|Q387|Q374|Q370|Q411|Q408|Q350|Q334|Q339|Q385|Q401|Q391|Q405|Q337|Q402|Q349|Q400|Q327|Q388|Q336|Q364|Q341|Q352|Q315|Q399|Q409|Q394|Q366|Q382|Q354|Q413|Q345|Q381|Q367|Q322|Q363|Q392|Q329|Q362|Q320|Q358|Q314|Q328|Q395|Q338|Q355|Q380|Q396|Q398|Q361|Q318|Q357|Q390|Q356|Q375|Q342|Q340|Q330|Q348|Q379|Q332|Q368|Q377|Q346|Q406|Q325|Q360|Q397|Q333|Q393|Q317|Q359|Q323|Q373,,,,
802,R_xtEUO3bR6x73kRj,More Fake,2,1,2,"""news articles"",""social media pages""",66,57,83,66,22,37,81,56,37,32,24,15,40,23,60,81,16,12,41,60,24,24,11,78,83,14,58,35,58,67,66,23,5,9,9,0,0,8,33,15,34,30,35,71,82,24,35,32,20,34,41,81,35,1,6,10,22,14,33,57,14,63,62,16,39,71,71,60,31,47,92,83,63,38,40,40,40,40,40,40,40,75,4,1,3,4,1,2,2,2,5,4,3,4,Other,None,18,Female,,f5ce48f1ad659d94a8c1,,Q35|Q41|Q43|Q45|Q57|Q50|Q44|Q34,Q126|Q136|Q164|Q123|Q118|Q199|Q172|Q129|Q141|Q168|Q197|Q169|Q138|Q116|Q211|Q171|Q132|Q185|Q158|Q157|Q163|Q207|Q188|Q181|Q162|Q134|Q160|Q213|Q125|Q137|Q191|Q121|Q135|Q152|Q178|Q146|Q154|Q180|Q156|Q117|Q165|Q174|Q212|Q200|Q115|Q210|Q173|Q206|Q142|Q153|Q122|Q143|Q175|Q184|Q198|Q177|Q209|Q189|Q170|Q205|Q130|Q204|Q114|Q131,Q306|Q291|Q301|Q285|Q274|Q295|Q303|Q282,,,,,
